datetime,temp,precip,snow,windspeed,conditions
2021-12-31T00:00:00,9.4,0,0,3.5,Overcast
2021-12-31T01:00:00,9,0,0,7.4,Overcast
2021-12-31T02:00:00,9.4,0,0,3,Overcast
2021-12-31T03:00:00,9.4,0,0,6.5,Overcast
2021-12-31T04:00:00,9,0,0,3.5,Overcast
2021-12-31T05:00:00,9.2,0,0,2.5,Overcast
2021-12-31T06:00:00,9.4,0,0,0,Overcast
2021-12-31T07:00:00,10,0,0,0,Overcast
2021-12-31T08:00:00,10.2,0,0,0,Overcast
2021-12-31T09:00:00,10.7,0,0,0,Overcast
2021-12-31T10:00:00,10.8,0,0,3.5,Overcast
2021-12-31T11:00:00,11.8,0,0,7.9,Clear
2021-12-31T12:00:00,11.8,0,0,7.4,Partially cloudy
2021-12-31T13:00:00,11.3,0,0,11.2,Overcast
2021-12-31T14:00:00,11.3,0,0,4.4,Overcast
2021-12-31T15:00:00,11.3,0,0,7.9,Overcast
2021-12-31T16:00:00,10.7,0,0,12.1,Overcast
2021-12-31T17:00:00,10.7,0,0,10.3,Overcast
2021-12-31T18:00:00,10.7,0,0,3.5,Overcast
2021-12-31T19:00:00,10.7,0,0,10,Overcast
2021-12-31T20:00:00,10.7,0,0,6.9,Overcast
2021-12-31T21:00:00,10.8,0,0,6,Overcast
2021-12-31T22:00:00,11,0,0,9.4,Overcast
2021-12-31T23:00:00,10.7,0,0,3,Overcast
2022-01-01T00:00:00,10.7,0,0,9,Overcast
2022-01-01T01:00:00,10.7,0,0,3,Overcast
2022-01-01T02:00:00,10.7,0,0,0,Overcast
2022-01-01T03:00:00,10.7,0,0,8,Overcast
2022-01-01T04:00:00,10.1,0,0,8.5,Overcast
2022-01-01T05:00:00,10,0,0,2.5,Overcast
2022-01-01T06:00:00,10.7,0,0,8.5,Overcast
2022-01-01T07:00:00,10.7,0.091,0,2.5,"Rain, Overcast"
2022-01-01T08:00:00,10.2,0.886,0,9.4,"Rain, Overcast"
2022-01-01T09:00:00,11.1,0.947,0,10,"Rain, Overcast"
2022-01-01T10:00:00,11.7,0.36,0,9.4,"Rain, Overcast"
2022-01-01T11:00:00,12.2,0.224,0,8.6,"Rain, Overcast"
2022-01-01T12:00:00,12.4,0.091,0,10.7,"Rain, Overcast"
2022-01-01T13:00:00,12.5,0.44,0,8,"Rain, Overcast"
2022-01-01T14:00:00,12.5,0,0,0,Overcast
2022-01-01T15:00:00,13.1,0,0,2,Overcast
2022-01-01T16:00:00,13.5,0,0,3,Overcast
2022-01-01T17:00:00,13.4,0,0,1.4,Overcast
2022-01-01T18:00:00,12.4,0.469,0,2,"Rain, Overcast"
2022-01-01T19:00:00,12.1,1.166,0,3.9,"Rain, Overcast"
2022-01-01T20:00:00,11.6,1.451,0,8,"Rain, Overcast"
2022-01-01T21:00:00,11.4,1.417,0,7.4,"Rain, Overcast"
2022-01-01T22:00:00,11.6,3.727,0,13.1,"Rain, Overcast"
2022-01-01T23:00:00,11.4,7.194,0,10,"Rain, Overcast"
2022-01-02T00:00:00,10.8,1.318,0,13.8,"Rain, Overcast"
2022-01-02T01:00:00,10.8,0.5,0,13,"Rain, Overcast"
2022-01-02T02:00:00,10.7,0,0,4,Overcast
2022-01-02T03:00:00,10.8,0,0,10,Overcast
2022-01-02T04:00:00,11.1,0,0,3,Overcast
2022-01-02T05:00:00,11.3,0,0,2.3,Overcast
2022-01-02T06:00:00,11,0.5,0,3,"Rain, Overcast"
2022-01-02T07:00:00,11.2,0,0,6.4,Overcast
2022-01-02T08:00:00,11.1,0,0,0,Overcast
2022-01-02T09:00:00,11.8,0,0,3,Overcast
2022-01-02T10:00:00,12.2,0,0,11.6,Overcast
2022-01-02T11:00:00,12.2,0,0,14.8,Overcast
2022-01-02T12:00:00,12.9,0,0,15.2,Overcast
2022-01-02T13:00:00,14,0,0,16.3,Overcast
2022-01-02T14:00:00,14.7,0,0,15.2,Overcast
2022-01-02T15:00:00,12.7,0,0,13.7,Partially cloudy
2022-01-02T16:00:00,11.4,0,0,3,Partially cloudy
2022-01-02T17:00:00,10.7,0,0,15.5,Overcast
2022-01-02T18:00:00,9.3,0,0,17.7,Overcast
2022-01-02T19:00:00,8,0,0,17.1,Overcast
2022-01-02T20:00:00,4.7,0,0,22.9,Partially cloudy
2022-01-02T21:00:00,3.6,0,0,14.3,Partially cloudy
2022-01-02T22:00:00,3.6,0,0,12.3,Partially cloudy
2022-01-02T23:00:00,3.6,0,0,8.9,Overcast
2022-01-03T00:00:00,3.3,0,0,13.4,Partially cloudy
2022-01-03T01:00:00,3.1,0,0,13.9,Partially cloudy
2022-01-03T02:00:00,2.5,0,0,10.4,Partially cloudy
2022-01-03T03:00:00,2.4,0,0,18.4,Overcast
